uid,label,fold
xaji0y6d,0,0
pbhsahxt,0,3
hv3a3zmf,0,0
8mdd4v30,0,4
t9nt3w5u,1,0
zbikcidk,1,0
wnnhj7xv,0,4
g0fn9xuy,0,3
41ibljh7,0,2
5lxo6qji,1,3
ujv6oh9s,1,2
dbdw2pcn,1,4
9t84azyt,0,1
jxepq85j,1,1
sg65kxvf,1,3
1t2tala7,0,2
53lc58dr,1,1
c11ertj5,1,0
9mx2x18h,0,2
afeyuhz1,1,2
gv0e38da,1,0
ly8ozcyw,1,1
d14ve92m,1,1
pnsm43d8,0,4
w3zp08j3,1,1
trp0j43d,1,1
5iqvnb4g,1,2
h2m5zja8,1,3
dzr1yxr2,1,4
dhylurtp,0,2
0lzjjege,1,1
t1ghr09s,0,3
kdgigatj,1,1
9tze5r5u,0,4
qpgb7r3o,0,4
cwbfuk9e,0,0
1v2isqp4,1,1
9kwv08hh,1,3
xfgcaqvk,0,3
izzqy72w,1,3
x7ptx63c,1,2
fl0ukeyz,1,1
7srcbplj,1,3
d84u89yj,1,1
b1qx6gvw,0,1
rdmly4ly,0,0
k83tqll8,0,0
os9xtogn,1,0
1w1ht7pz,1,3
e9vifttd,1,2
96qe3rzs,0,3
j49itn7s,1,4
55j2o7s3,0,1
kkv9rftm,1,1
ttqlgzui,1,4
1b0z3nx3,1,2
9rbsv55p,1,1
sq0oxfq8,1,0
myx444nl,1,2
z15bcw79,1,1
0pdw5py6,1,3
b2knftu2,1,2
gc5wi6fq,0,3
jja26yfp,1,0
mvxpj4hn,0,3
riuu9k9x,1,0
juy0bvr6,1,4
k2vmwwyz,0,0
x4w6xlpu,0,2
0dk0get8,0,4
t63j3r30,1,4
me8f8409,0,0
82n2atqy,0,4
yv37dia5,0,2
u6hc36ko,0,4
f8krd5eq,0,1
y08p0fod,0,4
ro8bnp84,0,0
dyt9moge,0,0
4qxxva2i,0,0
euc1hh5l,1,3
f6a4fejg,0,2
xaa2ilgb,0,1
0s0r2sds,1,4
8b25sq8c,0,0
royr6ccv,1,2
cjwtl9tq,1,0
vdz4x1zh,1,1
qimqodpx,1,1
nf7c3dd0,1,2
3uvulemx,0,2
15z8vmuh,0,2
xid4n1u3,1,1
493wxa73,1,3
jgzlma5u,0,2
ofwb0hpm,0,1
nz1udbfw,1,0
yjxrpj1e,0,2
pkyrybov,0,3
akhejla0,0,3
gnzs43c5,1,0
ba75uuzp,0,0
eal2w37d,0,3
4ivsolml,1,3
gses6m03,0,3
3ifhv1xg,0,1
1r11q7uw,0,0
w5wfcpkj,0,3
cslqc3c5,0,2
4wsqt26q,0,1
3xlrfcd6,0,2
mzsgipps,0,2
fnkomv2x,0,3
cdyk0x65,1,2
mufm8zov,1,3
7ln23y30,1,3
ysxpnngh,1,4
8riec4d1,0,1
45bm1enf,0,2
313fpoyi,1,4
pk0qtl3q,0,3
4n89qkns,0,0
832ejx5t,1,0
d44k1j6f,0,3
p8hqmabs,0,2
i9nb74x2,0,4
ek3zezqa,0,3
cj4t0sek,0,1
kbp2qd6v,1,4
asifpwio,1,4
xd9css9t,0,1
oqw9ja2m,0,2
0w10lbt3,0,2
g2qzw3c1,0,1
qkbhb7s9,0,2
t64z7w2s,0,4
ehe2atn2,0,3
twdl9zs1,0,3
3c9xqym5,1,1
2xg8p6be,1,4
fflzm764,0,3
jwtektsg,1,0
7fxzv4u3,0,2
bbxux1ox,0,1
rwk8r2yk,1,0
ccprhvlz,1,4
049enulq,0,0
jidknwi5,0,4
flul1rsr,0,4
la8s8hmb,0,0
r5xqt4p5,0,2
01nouhtc,0,4
s1k9ye9o,0,2
2m71hssb,1,0
elrqvslw,1,0
f90km3tz,0,2
k3ny9v20,0,0
yar821uz,1,0
vgww4fyb,1,2
8dalfyo1,0,2
750cehlx,1,4
slg6mm1z,1,4
xyvgiui9,1,4
kkhzlm72,0,4
jeyn9382,1,0
kkzmpjrh,1,1
t7zewviy,0,2
twbozd1a,0,2
t7o75rh8,1,0
lx6dut07,0,1
6g5g79or,1,0
7875aud9,1,3
k9tr74qg,0,4
efqjg02u,1,0
1g463sdy,1,4
gfliji18,1,4
k0axycel,0,2
os6zle6k,1,3
whef0vot,1,3
qtxhi15c,1,1
qzcuctsu,1,2
flsehuds,1,0
3qsqcq30,0,4
o30ubmc9,0,0
7c7bo119,0,3
xp9n56ny,0,2
xtxmgtt0,0,1
iaakytt3,0,2
imj70e3p,1,3
15ahdbvz,0,0
b0oih5cs,1,2
k30lvylk,0,3
fxhkc856,0,3
wpr97y2l,1,2
ofn1r4kz,1,3
36u8ueih,1,0
x74d0gjy,0,0
v5g10ur5,1,4
l8a78e9r,0,3
ivh6t1nt,1,0
mjsrd9q4,1,2
6nouhfj7,0,0
upfln4rx,1,2
yj38xrg2,0,0
gzr7txcb,0,1
48y1o4iz,1,0
asnwywrr,1,4
atatj9a3,0,1
y36ddfgs,0,2
3jonou9i,1,2
y4x41dnt,0,0
cagrp2u4,0,4
dtbh55rb,0,2
c76ub7l8,1,3
v1zocfi4,1,2
o6l1f90s,0,4
9bp4m18o,0,3
1bj9rm7p,0,4
yxdw2zcf,1,1
zw0ldalm,0,4
jegqtoam,0,2
dvlnknd6,0,3
69ugnekr,0,3
cpprcjiw,1,1
vhdk8lw2,0,3
lm349el8,1,2
hl88kzru,0,3
in3oeuvt,1,4
yt8qzpky,0,3
32orwixz,1,4
2c9ros7y,0,3
t2m6twd1,1,1
xmxb9yo1,0,3
8pajssuu,0,1
qo1vsmad,1,0
o8e7flqh,1,3
rrpzlk3e,0,3
4xyf9igf,1,4
u8iogxpb,0,4
whvnzh13,1,3
