uid,label,fold
xaji0y6d,0,2
pbhsahxt,0,1
hv3a3zmf,0,2
8mdd4v30,0,3
t9nt3w5u,1,0
zbikcidk,1,0
wnnhj7xv,0,2
g0fn9xuy,0,3
41ibljh7,0,3
5lxo6qji,1,4
ujv6oh9s,1,3
dbdw2pcn,1,0
9t84azyt,0,0
jxepq85j,1,1
sg65kxvf,1,4
1t2tala7,0,2
53lc58dr,1,2
c11ertj5,1,1
9mx2x18h,0,2
afeyuhz1,1,3
gv0e38da,1,0
ly8ozcyw,1,3
d14ve92m,1,4
pnsm43d8,0,1
w3zp08j3,1,0
trp0j43d,1,3
5iqvnb4g,1,2
h2m5zja8,1,2
dzr1yxr2,1,0
dhylurtp,0,0
0lzjjege,1,1
t1ghr09s,0,3
kdgigatj,1,1
9tze5r5u,0,3
qpgb7r3o,0,3
cwbfuk9e,0,0
1v2isqp4,1,1
9kwv08hh,1,1
xfgcaqvk,0,3
izzqy72w,1,0
x7ptx63c,1,0
fl0ukeyz,1,3
7srcbplj,1,4
d84u89yj,1,2
b1qx6gvw,0,3
rdmly4ly,0,1
k83tqll8,0,0
os9xtogn,1,2
1w1ht7pz,1,1
e9vifttd,1,2
96qe3rzs,0,3
j49itn7s,1,3
55j2o7s3,0,0
kkv9rftm,1,3
ttqlgzui,1,3
1b0z3nx3,1,0
9rbsv55p,1,3
sq0oxfq8,1,3
myx444nl,1,4
z15bcw79,1,3
0pdw5py6,1,0
b2knftu2,1,1
gc5wi6fq,0,2
jja26yfp,1,2
mvxpj4hn,0,0
riuu9k9x,1,0
juy0bvr6,1,2
k2vmwwyz,0,0
x4w6xlpu,0,0
0dk0get8,0,4
t63j3r30,1,3
me8f8409,0,3
82n2atqy,0,2
yv37dia5,0,0
u6hc36ko,0,4
f8krd5eq,0,1
y08p0fod,0,3
ro8bnp84,0,4
dyt9moge,0,1
4qxxva2i,0,0
euc1hh5l,1,4
f6a4fejg,0,0
xaa2ilgb,0,4
0s0r2sds,1,1
8b25sq8c,0,2
royr6ccv,1,2
cjwtl9tq,1,3
vdz4x1zh,1,4
qimqodpx,1,1
nf7c3dd0,1,3
3uvulemx,0,1
15z8vmuh,0,1
xid4n1u3,1,0
493wxa73,1,2
jgzlma5u,0,4
ofwb0hpm,0,3
nz1udbfw,1,3
yjxrpj1e,0,0
pkyrybov,0,0
akhejla0,0,1
gnzs43c5,1,2
ba75uuzp,0,4
eal2w37d,0,4
4ivsolml,1,4
gses6m03,0,2
3ifhv1xg,0,2
1r11q7uw,0,4
w5wfcpkj,0,0
cslqc3c5,0,2
4wsqt26q,0,3
3xlrfcd6,0,2
mzsgipps,0,1
fnkomv2x,0,2
cdyk0x65,1,0
mufm8zov,1,4
7ln23y30,1,1
ysxpnngh,1,1
8riec4d1,0,4
45bm1enf,0,0
313fpoyi,1,2
pk0qtl3q,0,2
4n89qkns,0,0
832ejx5t,1,2
d44k1j6f,0,2
p8hqmabs,0,3
i9nb74x2,0,0
ek3zezqa,0,2
cj4t0sek,0,4
kbp2qd6v,1,4
asifpwio,1,0
xd9css9t,0,3
oqw9ja2m,0,1
0w10lbt3,0,0
g2qzw3c1,0,1
qkbhb7s9,0,3
t64z7w2s,0,1
ehe2atn2,0,2
twdl9zs1,0,2
3c9xqym5,1,4
2xg8p6be,1,3
fflzm764,0,1
jwtektsg,1,1
7fxzv4u3,0,2
bbxux1ox,0,1
rwk8r2yk,1,4
ccprhvlz,1,2
049enulq,0,2
jidknwi5,0,4
flul1rsr,0,2
la8s8hmb,0,3
r5xqt4p5,0,1
01nouhtc,0,4
s1k9ye9o,0,2
2m71hssb,1,1
elrqvslw,1,1
f90km3tz,0,1
k3ny9v20,0,3
yar821uz,1,2
vgww4fyb,1,4
8dalfyo1,0,0
750cehlx,1,0
slg6mm1z,1,3
xyvgiui9,1,2
kkhzlm72,0,1
jeyn9382,1,0
kkzmpjrh,1,3
t7zewviy,0,4
twbozd1a,0,3
t7o75rh8,1,4
lx6dut07,0,3
6g5g79or,1,2
7875aud9,1,3
k9tr74qg,0,2
efqjg02u,1,2
1g463sdy,1,1
gfliji18,1,0
k0axycel,0,2
os6zle6k,1,2
whef0vot,1,2
qtxhi15c,1,0
qzcuctsu,1,0
flsehuds,1,4
3qsqcq30,0,0
o30ubmc9,0,1
7c7bo119,0,2
xp9n56ny,0,3
xtxmgtt0,0,3
iaakytt3,0,4
imj70e3p,1,2
15ahdbvz,0,2
b0oih5cs,1,2
k30lvylk,0,4
fxhkc856,0,0
wpr97y2l,1,3
ofn1r4kz,1,3
36u8ueih,1,2
x74d0gjy,0,1
v5g10ur5,1,3
l8a78e9r,0,3
ivh6t1nt,1,4
mjsrd9q4,1,4
6nouhfj7,0,3
upfln4rx,1,0
yj38xrg2,0,1
gzr7txcb,0,4
48y1o4iz,1,1
asnwywrr,1,0
atatj9a3,0,2
y36ddfgs,0,0
3jonou9i,1,4
y4x41dnt,0,1
cagrp2u4,0,3
dtbh55rb,0,1
c76ub7l8,1,1
v1zocfi4,1,0
o6l1f90s,0,3
9bp4m18o,0,2
1bj9rm7p,0,1
yxdw2zcf,1,4
zw0ldalm,0,3
jegqtoam,0,1
dvlnknd6,0,4
69ugnekr,0,1
cpprcjiw,1,1
vhdk8lw2,0,4
lm349el8,1,1
hl88kzru,0,2
in3oeuvt,1,2
yt8qzpky,0,2
32orwixz,1,2
2c9ros7y,0,1
t2m6twd1,1,2
xmxb9yo1,0,4
8pajssuu,0,2
qo1vsmad,1,3
o8e7flqh,1,0
rrpzlk3e,0,0
4xyf9igf,1,1
u8iogxpb,0,1
whvnzh13,1,4
cd5glqj5,1,0
sxvwvm4w,0,0
3zkwdeek,1,3
gyspengw,0,0
yx9trflq,1,0
bmae38sr,0,3
yo4rcb1k,1,1
jtgq01te,0,2
e13n3bzt,0,4
9d31k9qm,1,1
3p91i3vm,0,3
zwffhhcm,1,0
ktlzkj49,0,1
yd82795e,1,2
5iz31yru,0,2
joqw5dsk,1,4
7n8la100,1,3
qxmcthph,0,4
j3muurmy,1,1
bd2qe4pa,0,3
8hyexf7j,1,4
xjn6fokz,0,3
ixzareiy,0,0
az39pecn,0,0
0dl5e11e,1,1
9ftaxp0w,1,1
foy4dd1v,1,4
n8lfjdtv,0,0
v2y4xkss,1,2
0kb68rer,0,0
vt997e4u,0,0
ny181acj,0,2
bc2swsoz,1,3
ctwjlsh3,0,0
tow4ycz0,0,4
4cdpqvl0,1,4
0ezzf8s2,1,1
zge2j51b,1,0
3jczucqm,0,1
runjdu0i,1,3
sb5iqnf7,0,2
4t60ploz,1,2
jcns6g29,1,3
8cqk4lta,0,0
hukwqvr1,0,1
h61iaoim,1,0
458ax40d,0,0
tirc9zd7,1,1
6szn9dde,1,1
3cup8ijl,0,3
2z0ljch2,1,4
vffqot8h,0,3
ljefy3zb,1,4
4ldimsyj,1,2
9boq0iq2,1,1
fa39e3nw,0,4
xuj3ac6p,0,4
e63lbqgu,0,1
3obyghgk,1,4
5bwikotc,0,0
keh5sw22,0,2
92mtr6sn,0,1
glh62c9t,1,0
199dxj37,0,3
c9h42m44,1,1
gv3z6bz8,0,1
uug95rlr,1,4
dihsa7he,1,1
z74lav71,0,0
448n7odk,0,2
ef828xg8,1,2
y72ivgly,1,2
e088o98b,0,1
v78hu7f0,1,4
i9g5dzx5,1,3
qjicjdan,0,3
085rntdr,1,1
5xyfc4kl,1,2
8cgn0t6d,0,4
vwrb7f6f,0,2
dhgzz0jk,1,3
ibu4fmpk,1,3
xvhagkc4,0,2
lorxdtg5,0,2
nqjqijc1,0,1
ydmt8vt4,1,2
3pt5r5rc,0,1
6zs62ywe,1,4
1g983ep9,1,3
p9w4j66c,0,0
noljq52w,0,1
spofv177,0,4
udktmonr,1,0
vbjfvyb6,0,4
li076a3k,1,3
krzd5e9p,0,2
3jpxgh30,0,3
153sflse,1,3
45bg34iq,0,0
7zj3sweb,0,1
nvg5vmf6,0,4
0yknfu84,1,1
xyjoa21a,1,1
6xvaj2k8,1,2
xpnmjqy3,1,3
odsx4nxv,0,3
kdc9x5jz,1,1
6kf1622v,1,0
xyzx9jpn,1,2
bzug0it2,1,2
6ys445gd,0,2
ej31gymd,0,4
m0l2ljk4,0,2
q5v7c6s5,1,3
nkb4ehou,1,3
6qlz2rwg,1,3
waj1g1r1,1,4
dwwo8nbh,1,1
nal3gywi,1,4
ymenvg3k,1,4
k0vm59m6,1,0
mg87oi0e,0,2
0vgnxb5j,0,2
tb9xxayp,0,2
ntrfzwkx,1,0
xjve3dze,1,1
edhhjshz,0,4
kbrh7lay,0,1
64yfds0d,0,1
ji9kqdgb,0,3
k2l0d1b4,1,0
xgmpw5d3,0,3
go8jn42x,0,0
2ezc7fov,1,3
2ygnmby4,0,2
9e7eobjl,1,2
zy1uu9ym,1,2
szdximyn,1,3
4u9bxf44,1,3
5cri8bix,0,2
oiq2q4qe,1,0
rxdouadv,1,2
ei3zrrhf,1,1
4abufwbu,1,1
cjg8vuaz,1,0
xkdq95g3,1,2
v23gxj0m,1,4
qvindh4s,0,1
pfdrwb2s,0,3
erev361x,0,2
snbti22n,1,1
v01zderi,1,0
4k5ogz2u,1,1
eaxylnfx,0,2
j4pnjy1o,1,3
2rntjlmz,1,1
04x0qzfh,0,3
omtzzf8a,1,4
df7pchcb,1,1
n9wszv83,1,0
xphx2kbv,0,0
sigbiaf9,1,1
2movs0cd,1,4
k36m8jvh,1,4
7ujodck8,1,2
2853uy8u,0,0
118qqvae,1,0
cw9yil8s,1,1
a3idy3c7,0,3
rm6j8y6r,0,0
h05hhiwf,0,2
d7yxw1tb,1,0
rwr965r9,1,2
6khub2rt,0,3
soyg9zqy,1,2
ahulwjti,0,1
qwnrhzn4,1,0
kgeuidji,1,2
pnf8f3gr,1,0
94sz2kuu,1,1
oyc3rwqm,1,3
mu7jae58,1,2
huxg2myr,0,1
06nkwfg3,0,1
mwu4cfil,1,4
kjxjq5nv,1,3
