uid,label,fold
xaji0y6d,0,3
pbhsahxt,0,4
hv3a3zmf,0,0
8mdd4v30,0,4
t9nt3w5u,1,3
zbikcidk,1,2
wnnhj7xv,0,0
g0fn9xuy,0,2
41ibljh7,0,0
5lxo6qji,1,0
ujv6oh9s,1,2
dbdw2pcn,1,0
9t84azyt,0,0
jxepq85j,1,0
sg65kxvf,1,1
1t2tala7,0,3
53lc58dr,1,4
c11ertj5,1,4
9mx2x18h,0,0
afeyuhz1,1,2
gv0e38da,1,3
ly8ozcyw,1,1
d14ve92m,1,1
pnsm43d8,0,3
w3zp08j3,1,1
trp0j43d,1,4
5iqvnb4g,1,4
h2m5zja8,1,2
dzr1yxr2,1,3
dhylurtp,0,0
0lzjjege,1,4
t1ghr09s,0,3
kdgigatj,1,1
9tze5r5u,0,3
qpgb7r3o,0,3
cwbfuk9e,0,4
1v2isqp4,1,0
9kwv08hh,1,2
xfgcaqvk,0,3
izzqy72w,1,3
x7ptx63c,1,1
fl0ukeyz,1,3
7srcbplj,1,3
d84u89yj,1,1
b1qx6gvw,0,4
rdmly4ly,0,3
k83tqll8,0,1
os9xtogn,1,0
1w1ht7pz,1,2
e9vifttd,1,3
96qe3rzs,0,0
j49itn7s,1,1
55j2o7s3,0,4
kkv9rftm,1,0
ttqlgzui,1,0
1b0z3nx3,1,4
9rbsv55p,1,2
sq0oxfq8,1,0
myx444nl,1,4
z15bcw79,1,4
0pdw5py6,1,4
b2knftu2,1,1
gc5wi6fq,0,4
jja26yfp,1,1
mvxpj4hn,0,2
riuu9k9x,1,2
juy0bvr6,1,1
k2vmwwyz,0,4
x4w6xlpu,0,0
0dk0get8,0,2
t63j3r30,1,4
me8f8409,0,4
82n2atqy,0,3
yv37dia5,0,1
u6hc36ko,0,1
f8krd5eq,0,4
y08p0fod,0,3
ro8bnp84,0,1
dyt9moge,0,4
4qxxva2i,0,0
euc1hh5l,1,3
f6a4fejg,0,1
xaa2ilgb,0,4
0s0r2sds,1,2
8b25sq8c,0,2
royr6ccv,1,1
cjwtl9tq,1,4
vdz4x1zh,1,0
qimqodpx,1,0
nf7c3dd0,1,1
3uvulemx,0,4
15z8vmuh,0,0
xid4n1u3,1,3
493wxa73,1,0
jgzlma5u,0,3
ofwb0hpm,0,2
nz1udbfw,1,3
yjxrpj1e,0,1
pkyrybov,0,3
akhejla0,0,4
gnzs43c5,1,2
ba75uuzp,0,3
eal2w37d,0,0
4ivsolml,1,0
gses6m03,0,1
3ifhv1xg,0,1
1r11q7uw,0,2
w5wfcpkj,0,4
cslqc3c5,0,0
4wsqt26q,0,2
3xlrfcd6,0,3
mzsgipps,0,2
fnkomv2x,0,3
cdyk0x65,1,1
mufm8zov,1,1
7ln23y30,1,3
ysxpnngh,1,4
8riec4d1,0,2
45bm1enf,0,4
313fpoyi,1,1
pk0qtl3q,0,2
4n89qkns,0,1
832ejx5t,1,2
d44k1j6f,0,0
p8hqmabs,0,0
i9nb74x2,0,3
ek3zezqa,0,0
cj4t0sek,0,3
kbp2qd6v,1,4
asifpwio,1,3
xd9css9t,0,0
oqw9ja2m,0,2
0w10lbt3,0,1
g2qzw3c1,0,4
qkbhb7s9,0,2
t64z7w2s,0,1
ehe2atn2,0,0
twdl9zs1,0,4
3c9xqym5,1,3
2xg8p6be,1,1
fflzm764,0,4
jwtektsg,1,0
7fxzv4u3,0,3
bbxux1ox,0,0
rwk8r2yk,1,1
ccprhvlz,1,1
049enulq,0,0
jidknwi5,0,3
flul1rsr,0,2
la8s8hmb,0,4
r5xqt4p5,0,1
01nouhtc,0,4
s1k9ye9o,0,1
2m71hssb,1,0
elrqvslw,1,3
f90km3tz,0,0
k3ny9v20,0,2
yar821uz,1,4
vgww4fyb,1,2
8dalfyo1,0,1
750cehlx,1,1
slg6mm1z,1,0
xyvgiui9,1,3
kkhzlm72,0,2
jeyn9382,1,0
kkzmpjrh,1,3
t7zewviy,0,3
twbozd1a,0,4
t7o75rh8,1,3
lx6dut07,0,0
6g5g79or,1,2
7875aud9,1,0
k9tr74qg,0,0
efqjg02u,1,3
1g463sdy,1,0
gfliji18,1,3
k0axycel,0,4
os6zle6k,1,3
whef0vot,1,3
qtxhi15c,1,2
qzcuctsu,1,1
flsehuds,1,1
3qsqcq30,0,2
o30ubmc9,0,4
7c7bo119,0,1
xp9n56ny,0,0
xtxmgtt0,0,4
iaakytt3,0,0
imj70e3p,1,0
15ahdbvz,0,3
b0oih5cs,1,2
k30lvylk,0,3
fxhkc856,0,0
wpr97y2l,1,3
ofn1r4kz,1,2
36u8ueih,1,4
x74d0gjy,0,4
v5g10ur5,1,0
l8a78e9r,0,2
ivh6t1nt,1,3
mjsrd9q4,1,1
6nouhfj7,0,4
upfln4rx,1,1
yj38xrg2,0,2
gzr7txcb,0,1
48y1o4iz,1,4
asnwywrr,1,0
atatj9a3,0,1
y36ddfgs,0,3
3jonou9i,1,0
y4x41dnt,0,4
cagrp2u4,0,3
dtbh55rb,0,1
c76ub7l8,1,0
v1zocfi4,1,2
o6l1f90s,0,0
9bp4m18o,0,4
1bj9rm7p,0,4
yxdw2zcf,1,1
zw0ldalm,0,3
jegqtoam,0,1
dvlnknd6,0,3
69ugnekr,0,3
cpprcjiw,1,4
vhdk8lw2,0,4
lm349el8,1,4
hl88kzru,0,4
in3oeuvt,1,1
yt8qzpky,0,2
32orwixz,1,3
2c9ros7y,0,3
t2m6twd1,1,3
xmxb9yo1,0,0
8pajssuu,0,1
qo1vsmad,1,3
o8e7flqh,1,0
rrpzlk3e,0,4
4xyf9igf,1,1
u8iogxpb,0,1
whvnzh13,1,0
cd5glqj5,1,0
sxvwvm4w,0,4
3zkwdeek,1,3
gyspengw,0,2
yx9trflq,1,2
bmae38sr,0,1
yo4rcb1k,1,0
jtgq01te,0,2
e13n3bzt,0,4
9d31k9qm,1,3
3p91i3vm,0,2
zwffhhcm,1,0
ktlzkj49,0,3
yd82795e,1,3
5iz31yru,0,3
joqw5dsk,1,0
7n8la100,1,2
qxmcthph,0,3
j3muurmy,1,1
bd2qe4pa,0,3
8hyexf7j,1,1
xjn6fokz,0,3
ixzareiy,0,3
az39pecn,0,1
0dl5e11e,1,1
9ftaxp0w,1,3
foy4dd1v,1,1
n8lfjdtv,0,1
v2y4xkss,1,0
0kb68rer,0,1
vt997e4u,0,4
ny181acj,0,2
bc2swsoz,1,3
ctwjlsh3,0,2
tow4ycz0,0,1
4cdpqvl0,1,0
0ezzf8s2,1,1
zge2j51b,1,4
3jczucqm,0,3
runjdu0i,1,1
sb5iqnf7,0,4
4t60ploz,1,1
jcns6g29,1,4
8cqk4lta,0,4
hukwqvr1,0,3
h61iaoim,1,2
458ax40d,0,1
tirc9zd7,1,2
6szn9dde,1,2
3cup8ijl,0,4
2z0ljch2,1,2
vffqot8h,0,4
ljefy3zb,1,2
4ldimsyj,1,0
9boq0iq2,1,1
fa39e3nw,0,3
xuj3ac6p,0,3
e63lbqgu,0,1
3obyghgk,1,2
5bwikotc,0,0
keh5sw22,0,0
92mtr6sn,0,0
glh62c9t,1,0
199dxj37,0,2
c9h42m44,1,2
gv3z6bz8,0,3
uug95rlr,1,3
dihsa7he,1,2
z74lav71,0,2
448n7odk,0,4
ef828xg8,1,1
y72ivgly,1,2
e088o98b,0,4
v78hu7f0,1,0
i9g5dzx5,1,4
qjicjdan,0,1
085rntdr,1,0
5xyfc4kl,1,3
8cgn0t6d,0,3
vwrb7f6f,0,3
dhgzz0jk,1,0
ibu4fmpk,1,1
xvhagkc4,0,3
lorxdtg5,0,3
nqjqijc1,0,0
ydmt8vt4,1,2
3pt5r5rc,0,1
6zs62ywe,1,1
1g983ep9,1,2
p9w4j66c,0,4
noljq52w,0,1
spofv177,0,0
udktmonr,1,0
vbjfvyb6,0,0
li076a3k,1,4
krzd5e9p,0,0
3jpxgh30,0,2
153sflse,1,4
45bg34iq,0,3
7zj3sweb,0,2
nvg5vmf6,0,2
0yknfu84,1,2
xyjoa21a,1,0
6xvaj2k8,1,4
xpnmjqy3,1,4
odsx4nxv,0,0
kdc9x5jz,1,4
6kf1622v,1,4
xyzx9jpn,1,3
bzug0it2,1,4
6ys445gd,0,1
ej31gymd,0,2
m0l2ljk4,0,2
q5v7c6s5,1,1
nkb4ehou,1,1
6qlz2rwg,1,1
waj1g1r1,1,1
dwwo8nbh,1,2
nal3gywi,1,0
ymenvg3k,1,2
k0vm59m6,1,0
mg87oi0e,0,3
0vgnxb5j,0,3
tb9xxayp,0,3
ntrfzwkx,1,3
xjve3dze,1,1
edhhjshz,0,1
kbrh7lay,0,0
64yfds0d,0,3
ji9kqdgb,0,4
k2l0d1b4,1,0
xgmpw5d3,0,1
go8jn42x,0,3
2ezc7fov,1,4
2ygnmby4,0,4
9e7eobjl,1,1
zy1uu9ym,1,3
szdximyn,1,3
4u9bxf44,1,1
5cri8bix,0,0
oiq2q4qe,1,4
rxdouadv,1,3
ei3zrrhf,1,4
4abufwbu,1,0
cjg8vuaz,1,2
xkdq95g3,1,0
v23gxj0m,1,1
qvindh4s,0,3
pfdrwb2s,0,3
erev361x,0,0
snbti22n,1,4
v01zderi,1,2
4k5ogz2u,1,3
eaxylnfx,0,4
j4pnjy1o,1,2
2rntjlmz,1,3
04x0qzfh,0,2
omtzzf8a,1,0
df7pchcb,1,4
n9wszv83,1,4
xphx2kbv,0,4
sigbiaf9,1,1
2movs0cd,1,0
k36m8jvh,1,4
7ujodck8,1,1
2853uy8u,0,2
118qqvae,1,0
cw9yil8s,1,4
a3idy3c7,0,2
