uid,fold
xaji0y6d,1
pbhsahxt,4
hv3a3zmf,0
8mdd4v30,1
t9nt3w5u,1
zbikcidk,4
wnnhj7xv,4
g0fn9xuy,2
41ibljh7,3
5lxo6qji,3
ujv6oh9s,0
dbdw2pcn,1
9t84azyt,2
jxepq85j,2
sg65kxvf,1
1t2tala7,4
53lc58dr,4
c11ertj5,3
9mx2x18h,1
afeyuhz1,1
gv0e38da,4
ly8ozcyw,0
d14ve92m,2
pnsm43d8,4
w3zp08j3,1
trp0j43d,3
5iqvnb4g,0
h2m5zja8,1
dzr1yxr2,4
dhylurtp,4
0lzjjege,4
t1ghr09s,3
kdgigatj,1
9tze5r5u,3
qpgb7r3o,2
cwbfuk9e,4
1v2isqp4,3
9kwv08hh,1
xfgcaqvk,0
izzqy72w,1
x7ptx63c,3
fl0ukeyz,3
7srcbplj,1
d84u89yj,4
b1qx6gvw,2
rdmly4ly,2
k83tqll8,0
os9xtogn,4
1w1ht7pz,3
e9vifttd,3
96qe3rzs,3
j49itn7s,1
55j2o7s3,1
kkv9rftm,0
ttqlgzui,0
1b0z3nx3,1
9rbsv55p,0
sq0oxfq8,3
myx444nl,4
z15bcw79,1
0pdw5py6,3
b2knftu2,1
gc5wi6fq,4
jja26yfp,0
mvxpj4hn,3
riuu9k9x,0
juy0bvr6,3
k2vmwwyz,2
x4w6xlpu,1
0dk0get8,3
t63j3r30,0
me8f8409,1
82n2atqy,0
yv37dia5,3
u6hc36ko,4
f8krd5eq,4
y08p0fod,1
ro8bnp84,3
dyt9moge,1
4qxxva2i,3
euc1hh5l,3
f6a4fejg,1
xaa2ilgb,2
0s0r2sds,2
8b25sq8c,1
royr6ccv,1
cjwtl9tq,1
vdz4x1zh,3
qimqodpx,1
nf7c3dd0,4
3uvulemx,0
15z8vmuh,4
xid4n1u3,3
493wxa73,0
jgzlma5u,3
ofwb0hpm,2
nz1udbfw,3
yjxrpj1e,4
pkyrybov,3
akhejla0,3
gnzs43c5,2
ba75uuzp,3
eal2w37d,4
4ivsolml,0
gses6m03,3
3ifhv1xg,2
1r11q7uw,0
w5wfcpkj,1
cslqc3c5,0
4wsqt26q,2
3xlrfcd6,4
mzsgipps,1
fnkomv2x,4
cdyk0x65,4
mufm8zov,1
7ln23y30,3
ysxpnngh,1
8riec4d1,1
45bm1enf,4
313fpoyi,0
pk0qtl3q,3
4n89qkns,3
832ejx5t,0
d44k1j6f,3
p8hqmabs,4
i9nb74x2,1
ek3zezqa,3
cj4t0sek,3
