uid,label,fold
xaji0y6d,0,3
pbhsahxt,0,0
hv3a3zmf,0,1
8mdd4v30,0,2
t9nt3w5u,1,0
zbikcidk,1,2
wnnhj7xv,0,3
g0fn9xuy,0,1
41ibljh7,0,3
5lxo6qji,1,0
ujv6oh9s,1,0
dbdw2pcn,1,2
9t84azyt,0,1
jxepq85j,1,2
sg65kxvf,1,3
1t2tala7,0,1
53lc58dr,1,0
c11ertj5,1,0
9mx2x18h,0,4
afeyuhz1,1,1
gv0e38da,1,4
ly8ozcyw,1,0
d14ve92m,1,4
pnsm43d8,0,4
w3zp08j3,1,3
trp0j43d,1,4
5iqvnb4g,1,4
h2m5zja8,1,0
dzr1yxr2,1,2
dhylurtp,0,3
0lzjjege,1,4
t1ghr09s,0,0
kdgigatj,1,1
9tze5r5u,0,4
qpgb7r3o,0,0
cwbfuk9e,0,0
1v2isqp4,1,2
9kwv08hh,1,1
xfgcaqvk,0,3
izzqy72w,1,1
x7ptx63c,1,1
fl0ukeyz,1,3
7srcbplj,1,4
d84u89yj,1,3
b1qx6gvw,0,0
rdmly4ly,0,0
k83tqll8,0,3
os9xtogn,1,3
1w1ht7pz,1,1
e9vifttd,1,3
96qe3rzs,0,1
j49itn7s,1,4
55j2o7s3,0,0
kkv9rftm,1,3
ttqlgzui,1,1
1b0z3nx3,1,1
9rbsv55p,1,3
sq0oxfq8,1,1
myx444nl,1,3
z15bcw79,1,0
0pdw5py6,1,1
b2knftu2,1,3
gc5wi6fq,0,4
jja26yfp,1,1
mvxpj4hn,0,4
riuu9k9x,1,2
juy0bvr6,1,0
k2vmwwyz,0,1
x4w6xlpu,0,2
0dk0get8,0,1
t63j3r30,1,1
me8f8409,0,4
82n2atqy,0,0
yv37dia5,0,0
u6hc36ko,0,1
f8krd5eq,0,1
y08p0fod,0,3
ro8bnp84,0,2
dyt9moge,0,4
4qxxva2i,0,2
euc1hh5l,1,4
f6a4fejg,0,3
xaa2ilgb,0,0
0s0r2sds,1,0
8b25sq8c,0,0
royr6ccv,1,4
cjwtl9tq,1,0
vdz4x1zh,1,4
qimqodpx,1,3
nf7c3dd0,1,4
3uvulemx,0,4
15z8vmuh,0,4
xid4n1u3,1,2
493wxa73,1,1
jgzlma5u,0,3
ofwb0hpm,0,3
nz1udbfw,1,4
yjxrpj1e,0,4
pkyrybov,0,0
akhejla0,0,1
gnzs43c5,1,3
ba75uuzp,0,2
eal2w37d,0,0
4ivsolml,1,1
gses6m03,0,1
3ifhv1xg,0,0
1r11q7uw,0,3
w5wfcpkj,0,2
cslqc3c5,0,2
4wsqt26q,0,0
3xlrfcd6,0,0
mzsgipps,0,3
fnkomv2x,0,1
cdyk0x65,1,2
mufm8zov,1,4
7ln23y30,1,4
ysxpnngh,1,1
8riec4d1,0,4
45bm1enf,0,1
313fpoyi,1,0
pk0qtl3q,0,3
4n89qkns,0,4
832ejx5t,1,1
d44k1j6f,0,1
p8hqmabs,0,1
i9nb74x2,0,3
ek3zezqa,0,3
cj4t0sek,0,2
kbp2qd6v,1,0
asifpwio,1,4
xd9css9t,0,0
oqw9ja2m,0,1
0w10lbt3,0,4
g2qzw3c1,0,4
qkbhb7s9,0,3
t64z7w2s,0,0
ehe2atn2,0,4
twdl9zs1,0,4
3c9xqym5,1,0
2xg8p6be,1,2
fflzm764,0,0
jwtektsg,1,0
7fxzv4u3,0,0
bbxux1ox,0,2
rwk8r2yk,1,3
ccprhvlz,1,4
049enulq,0,1
jidknwi5,0,0
flul1rsr,0,2
la8s8hmb,0,0
r5xqt4p5,0,4
01nouhtc,0,0
s1k9ye9o,0,1
2m71hssb,1,3
elrqvslw,1,4
f90km3tz,0,2
k3ny9v20,0,0
yar821uz,1,0
vgww4fyb,1,4
8dalfyo1,0,3
750cehlx,1,2
slg6mm1z,1,2
xyvgiui9,1,1
kkhzlm72,0,1
jeyn9382,1,3
kkzmpjrh,1,0
t7zewviy,0,4
twbozd1a,0,4
t7o75rh8,1,0
lx6dut07,0,2
6g5g79or,1,3
7875aud9,1,3
k9tr74qg,0,2
efqjg02u,1,3
1g463sdy,1,4
gfliji18,1,4
k0axycel,0,3
os6zle6k,1,2
whef0vot,1,1
qtxhi15c,1,0
qzcuctsu,1,4
flsehuds,1,1
3qsqcq30,0,0
o30ubmc9,0,4
7c7bo119,0,2
xp9n56ny,0,4
xtxmgtt0,0,0
iaakytt3,0,0
imj70e3p,1,4
15ahdbvz,0,4
b0oih5cs,1,0
k30lvylk,0,2
fxhkc856,0,3
wpr97y2l,1,2
ofn1r4kz,1,2
36u8ueih,1,2
x74d0gjy,0,1
v5g10ur5,1,0
l8a78e9r,0,2
ivh6t1nt,1,4
